Record_ID,Name,Name_Variant,Company_Name,Company_Name_Variant,Match_Label,full_ratio,partial_ratio,token_sort_ratio,token_set_ratio,trigram
22,Timothy Brown,Tim0thy Br0wn,Turner Ltd,Turn3r Ltd,Slight Variation,85,85,85,85,0.4
23,Christopher Sullivan,Christ0pher Sulliv@n,Clark-Green,Clark-Gr33n,Slight Variation,90,90,85,85,0.556
24,Christina Mason,Christin@ M@s0n,Smith-Cohen,Smith-Coh3n,Slight Variation,80,80,83,83,0.409
25,Jennifer Cole,Jennifer C0le,"Smith, Rivera and Liu","Smith, Riv3ra and Liu",Slight Variation,92,92,92,92,0.647
26,Justin Kramer,Justin Kr@mer,Rios Ltd,Rios Ltd,Slight Variation,92,92,92,92,0.647
27,Amanda Martin,Am@nd@ M@rtin,"Watts, Becker and Jackson","Watts, B3ck3r and Jackson",Slight Variation,77,77,72,72,0.286
28,Karen Villanueva,K@ren Vill@nuev@,Delgado Inc,D3lgado Inc,Slight Variation,81,81,58,58,0.375
29,Ricky Peters,Ricky Peters,"Williams, Underwood and Davis","Williams, Und3rwood and Davis",Slight Variation,100,100,100,100,1.0
30,Matthew Prince,M@tthew Prince,Washington-Neal,Washington-N3al,Slight Variation,93,93,57,93,0.667
31,Pamela Smith,P@mel@ Smith,Ramirez PLC,Ramir3z PLC,Slight Variation,83,83,78,78,0.471
32,Andrew Arnold,Andrew Arn0ld,Contreras Group,Contr3ras Group,Slight Variation,92,92,92,92,0.625
33,Jose Scott,J0se Sc0tt,"Mcdaniel, Powell and Patterson","Mcdani3l, Pow3ll and Patt3rson",Slight Variation,80,80,80,80,0.294
34,Holly Peterson,H0lly Peters0n,Sherman Group,Sh3rman Group,Slight Variation,86,86,86,86,0.429
35,Amanda Moses,Am@nd@ M0ses,French LLC,Fr3nch LLC,Slight Variation,75,75,61,61,0.25
36,Kyle Carroll,Kyle C@rr0ll,Johnson-Collier,Johnson-Colli3r,Slight Variation,83,83,50,83,0.368
37,Michael Hayden,Mich@el H@yden,Smith PLC,Smith PLC,Slight Variation,86,86,50,50,0.429
38,Mary Waller,M@ry W@ller,Reid LLC,R3id LLC,Slight Variation,82,82,45,45,0.333
39,Amanda Warner,Am@nd@ W@rner,Stewart Inc,St3wart Inc,Slight Variation,77,77,72,72,0.286
40,Mark Leonard,M@rk Le0n@rd,Brown-Espinoza,Brown-Espinoza,Slight Variation,75,75,67,67,0.25
41,Eric Harris,Eric H@rris,Wilson Inc,Wilson Inc,Slight Variation,91,91,91,91,0.6
42,Ryan Hudson,Ry@n Huds0n,Delacruz-Nichols,D3lacruz-Nichols,Slight Variation,82,82,73,73,0.333
43,Jacqueline Sanchez,J@cqueline S@nchez,Dawson and Sons,Dawson and Sons,Slight Variation,89,89,78,78,0.52
44,Rachael Martinez,R@ch@el M@rtinez,"Gonzalez, Andersen and Murphy","Gonzal3z, And3rs3n and Murphy",Slight Variation,81,81,44,44,0.32
45,Juan Garcia,Ju@n G@rci@,Brooks-Lopez,Brooks-Lop3z,Slight Variation,73,73,38,38,0.211
46,Ricardo Parker,Ric@rd0 P@rker,Gonzalez LLC,Gonzal3z LLC,Slight Variation,79,79,36,36,0.333
47,Jaime Chavez,J@ime Ch@vez,Taylor-Gardner,Taylor-Gardn3r,Slight Variation,83,83,42,42,0.368
48,Patrick Cannon,P@trick C@nn0n,Rogers LLC,Rog3rs LLC,Slight Variation,79,79,79,79,0.25
49,David Baker,D@vid B@ker,Singh Ltd,Singh Ltd,Slight Variation,82,82,73,73,0.333
50,John Bennett,J0hn Bennett,"Vang, Hart and Flores","Vang, Hart and Flor3s",Slight Variation,92,92,92,92,0.625
51,Kristi Johnston,Kristi J0hnst0n,Hamilton Group,Hamilton Group,Slight Variation,87,87,87,87,0.455
52,Michelle Wheeler,Michelle Wheeler,Fernandez-Brandt,F3rnand3z-Brandt,Slight Variation,100,100,100,100,1.0
53,Kathleen Flores,K@thleen Fl0res,Freeman-Smith,Fr33man-Smith,Slight Variation,87,87,87,87,0.455
54,Daniel Fitzpatrick,D@niel Fitzp@trick,Clements Group,Cl3m3nts Group,Slight Variation,89,89,67,67,0.52
55,Joy Hatfield,J0y H@tfield,Fuller-Martinez,Full3r-Martin3z,Slight Variation,83,83,58,58,0.368
56,Thomas Hardy,Th0m@s H@rdy,"Butler, Barnes and Perez","Butl3r, Barn3s and P3r3z",Slight Variation,75,75,67,67,0.238
57,Jon Reed,J0n Reed,"Oneill, Moody and Warren","On3ill, Moody and Warr3n",Slight Variation,88,88,88,88,0.5
58,Arthur Irwin,Arthur Irwin,Olson LLC,Olson LLC,Slight Variation,100,100,100,100,1.0
59,Jeff White,Jeff White,Gray-Reese,Gray-R33s3,Slight Variation,100,100,100,100,1.0
60,Dawn Keller,D@wn Keller,"Taylor, Young and Willis","Taylor, Young and Willis",Slight Variation,91,91,73,91,0.6
61,Thomas Diaz,Th0m@s Di@z,Cuevas and Sons,Cu3vas and Sons,Slight Variation,73,73,55,55,0.2
62,Eric Ferguson,Eric Fergus0n,"Gonzalez, Berg and Carson","Gonzal3z, B3rg and Carson",Slight Variation,92,92,92,92,0.647
63,Justin Dalton,Justin D@lt0n,"Powell, Washington and Mullen","Pow3ll, Washington and Mull3n",Slight Variation,85,85,62,85,0.4
64,Tyler Reed,Tyler Reed,Johnson PLC,Johnson PLC,Slight Variation,100,100,100,100,1.0
65,Jeremy Bentley,Jeremy Bentley,"Johnson, Vasquez and Brennan","Johnson, Vasqu3z and Br3nnan",Slight Variation,100,100,100,100,1.0
66,Jorge Daniel,J0rge D@niel,"Dixon, Bush and Meyer","Dixon, Bush and M3y3r",Slight Variation,83,83,42,42,0.368
67,Diane Perry,Di@ne Perry,Brown-Cox,Brown-Cox,Slight Variation,91,91,91,91,0.6
68,Natasha Rogers,N@t@sh@ R0gers,Miller-Evans,Mill3r-Evans,Slight Variation,71,71,52,52,0.208
69,Mike Wilson,Mike Wils0n,Marquez-Chen,Marqu3z-Ch3n,Slight Variation,91,91,91,91,0.6
70,Benjamin Bright,Benj@min Bright,Thomas-Campbell,Thomas-Campb3ll,Slight Variation,93,93,73,93,0.667
71,Charles Bowman,Ch@rles B0wm@n,Clark Ltd,Clark Ltd,Slight Variation,79,79,71,71,0.25
72,Helen Mckinney,Helen Mckinney,Andrews Inc,Andr3ws Inc,Slight Variation,100,100,100,100,1.0
73,Andrew Medina,Andrew Medin@,"Martinez, Harris and Ray","Martin3z, Harris and Ray",Slight Variation,92,92,96,96,0.8
74,Cody Proctor,C0dy Pr0ct0r,Lee Ltd,L33 Ltd,Slight Variation,75,75,75,75,0.182
75,Todd Anderson,T0dd Anders0n,Day-Kelly,Day-K3lly,Slight Variation,85,85,85,85,0.4
76,Alexander Daniels,Alex@nder D@niels,Hoffman-York,Hoffman-York,Slight Variation,88,88,82,82,0.522
77,John Carey,J0hn C@rey,Santos-Ellis,Santos-Ellis,Slight Variation,80,80,40,40,0.294
78,Matthew Ross,M@tthew R0ss,Morales LLC,Moral3s LLC,Slight Variation,83,83,50,50,0.368
79,Kristi Alvarez,Kristi Alv@rez,"Newman, Wolf and Tucker","N3wman, Wolf and Tuck3r",Slight Variation,93,93,71,93,0.667
80,Sharon Stanley,Sh@r0n St@nley,"Martinez, Thompson and Thompson","Martin3z, Thompson and Thompson",Slight Variation,79,79,29,29,0.273
81,John Brown,J0hn Br0wn,Knight-Brown,Knight-Brown,Slight Variation,80,80,80,80,0.294
82,Ashley Harrison,Ashley H@rris0n,"Davis, Hernandez and Benton","Davis, H3rnand3z and B3nton",Slight Variation,87,87,87,87,0.455
83,Kristin Lewis,Kristin Lewis,Farrell Inc,Farr3ll Inc,Slight Variation,100,100,100,100,1.0
84,Carrie Jones,C@rrie J0nes,"Anderson, Choi and Ford","And3rson, Choi and Ford",Slight Variation,83,83,42,42,0.368
85,John Christensen,J0hn Christensen,Martinez-Olson,Martin3z-Olson,Slight Variation,94,94,94,94,0.7
86,Matthew Herrera,M@tthew Herrer@,"Lawrence, Cole and Jones","Lawr3nc3, Col3 and Jon3s",Slight Variation,87,87,90,90,0.55
87,Mackenzie Long,M@ckenzie L0ng,Dunn Group,Dunn Group,Slight Variation,86,86,50,50,0.429
88,Rebecca Henry,Rebecc@ Henry,Chang Inc,Chang Inc,Slight Variation,92,92,96,96,0.8
89,Julia Ortega,Juli@ Orteg@,Aguilar Inc,Aguilar Inc,Slight Variation,83,83,91,91,0.6
90,Nicholas Guerrero,Nich0l@s Guerrer0,Green-Alexander,Gr33n-Al3xand3r,Slight Variation,82,82,82,82,0.44
91,Jeremy Lee,Jeremy Lee,Schmidt Group,Schmidt Group,Slight Variation,100,100,100,100,1.0
92,Nancy Howard,N@ncy H0w@rd,"Summers, Mann and Johnson","Summ3rs, Mann and Johnson",Slight Variation,75,75,58,58,0.25
93,Heather Mcdonald,He@ther Mcd0n@ld,Brown-Powers,Brown-Pow3rs,Slight Variation,81,81,38,38,0.36
94,Patrick Smith,P@trick Smith,"Clark, Holden and Watson","Clark, Hold3n and Watson",Slight Variation,92,92,54,92,0.647
95,Amanda Bauer,Am@nd@ B@uer,"Kennedy, Jones and Johnston","K3nn3dy, Jon3s and Johnston",Slight Variation,75,75,70,70,0.25
96,Paige Brown,P@ige Br0wn,"Howard, Taylor and Lopez","Howard, Taylor and Lop3z",Slight Variation,82,82,73,73,0.333
97,Katie Petersen,K@tie Petersen,Kelly-Vaughn,K3lly-Vaughn,Slight Variation,93,93,71,93,0.667
98,Lauren Ritter,L@uren Ritter,Watts Group,Watts Group,Slight Variation,92,92,62,92,0.647
99,Eric Robbins,Eric R0bbins,Kemp-Perez,K3mp-P3r3z,Slight Variation,92,92,92,92,0.625
100,Whitney Kirby,Whitney Kirby,"Moore, Tran and Reyes","Moor3, Tran and R3y3s",Slight Variation,100,100,100,100,1.0
101,James Lyons,J@mes Ly0ns,Dorsey LLC,Dors3y LLC,Slight Variation,82,82,36,36,0.333
102,Kimberly Williamson,Kimberly Willi@ms0n,"Cline, Shelton and Hall","Clin3, Sh3lton and Hall",Slight Variation,89,89,74,74,0.538
103,Stacey Ellis,St@cey Ellis,Perez Inc,P3r3z Inc,Slight Variation,92,92,67,75,0.625
104,Pedro Brown,Pedr0 Br0wn,"Austin, Tyler and Joyce","Austin, Tyl3r and Joyc3",Slight Variation,82,82,82,82,0.412
105,Diana Lee,Di@n@ Lee,Goodwin Group,Goodwin Group,Slight Variation,78,78,71,82,0.462
106,Sara Dean,S@r@ De@n,Castro Inc,Castro Inc,Slight Variation,67,67,59,59,0.188
107,Emily Lindsey,Emily Lindsey,Flynn and Sons,Flynn and Sons,Slight Variation,100,100,100,100,1.0
108,Charles Grimes,Ch@rles Grimes,Brewer-Watson,Br3w3r-Watson,Slight Variation,93,93,64,93,0.647
109,Michelle Ward,Michelle W@rd,Wood-Martin,Wood-Martin,Slight Variation,92,92,85,85,0.647
110,Richard Yoder,Rich@rd Y0der,Hamilton-Munoz,Hamilton-Munoz,Slight Variation,85,85,69,69,0.421
111,Allison Conway,Allis0n C0nw@y,Contreras-Hernandez,Contr3ras-H3rnand3z,Slight Variation,79,79,79,79,0.25
112,Elizabeth Yang,Eliz@beth Y@ng,Houston Ltd,Houston Ltd,Slight Variation,86,86,50,50,0.429
113,Stephen Turner,Stephen Turner,Holmes Inc,Holm3s Inc,Slight Variation,100,100,100,100,1.0
114,Elizabeth Hill,Eliz@beth Hill,Watkins-Shaw,Watkins-Shaw,Slight Variation,93,93,64,64,0.667
115,Mary Davis,M@ry D@vis,Schmidt Group,Schmidt Group,Slight Variation,80,80,40,40,0.294
116,Lisa Barrett,Lis@ B@rrett,Macdonald Inc,Macdonald Inc,Slight Variation,83,83,52,52,0.471
117,Megan Carter,Meg@n C@rter,"Martin, Williams and Ortiz","Martin, Williams and Ortiz",Slight Variation,83,83,42,42,0.368
118,Jessica Graham,Jessic@ Gr@h@m,Evans Group,Evans Group,Slight Variation,79,79,74,74,0.381
119,Jennifer Hoffman,Jennifer H0ffm@n,Reyes-Horn,R3y3s-Horn,Slight Variation,88,88,81,88,0.478
120,Katie David,K@tie D@vid,Kane-Taylor,Kan3-Taylor,Slight Variation,82,82,36,36,0.333
121,Christina Gregory,Christin@ Greg0ry,Shelton PLC,Sh3lton PLC,Slight Variation,88,88,91,91,0.591
122,Brian Williams,Bri@n Willi@ms,"Fischer, Daniels and Flores","Fisch3r, Dani3ls and Flor3s",Slight Variation,86,86,71,71,0.429
123,Peter Butler,Peter Butler,Bailey Inc,Bail3y Inc,Slight Variation,100,100,100,100,1.0
124,Emily Martinez,Emily M@rtinez,Garcia-Hinton,Garcia-Hinton,Slight Variation,93,93,93,93,0.667
125,Kurt Harper,Kurt H@rper,Thomas-Johnson,Thomas-Johnson,Slight Variation,91,91,55,91,0.6
126,Stephanie Robles,Steph@nie R0bles,Williams Ltd,Williams Ltd,Slight Variation,88,88,69,69,0.478
127,Gina Harper,Gin@ H@rper,"Andrews, Oconnor and Floyd","Andr3ws, Oconnor and Floyd",Slight Variation,82,82,86,86,0.438
128,Bruce Williams,Bruce Willi@ms,Adams-Gamble,Adams-Gambl3,Slight Variation,93,93,79,79,0.667
129,Douglas Chandler,D0ugl@s Ch@ndler,Barnett Inc,Barn3tt Inc,Slight Variation,81,81,56,56,0.308
130,Keith Brown,Keith Br0wn,"Rodriguez, Patterson and Smith","Rodrigu3z, Patt3rson and Smith",Slight Variation,91,91,91,91,0.6
131,Joe Jones,J0e J0nes,Rogers-Morris,Rog3rs-Morris,Slight Variation,78,78,78,78,0.231
132,Jo Gibson,J0 Gibs0n,"Davis, Alexander and Atkins","Davis, Al3xand3r and Atkins",Slight Variation,78,78,78,78,0.333
133,Jesus Lang,Jesus L@ng,"Payne, Sanchez and Evans","Payn3, Sanch3z and Evans",Slight Variation,90,90,90,90,0.571
134,Lisa Michael,Lis@ Mich@el,Williams Inc,Williams Inc,Slight Variation,83,83,70,70,0.471
135,Michelle Scott,Michelle Sc0tt,Johnson-Ortega,Johnson-Ort3ga,Slight Variation,93,93,93,93,0.667
136,Lisa Walker,Lis@ W@lker,Ayala Inc,Ayala Inc,Slight Variation,82,82,76,76,0.467
137,Katherine Sanchez,K@therine S@nchez,Mora Inc,Mora Inc,Slight Variation,88,88,47,47,0.5
138,Eric Scott,Eric Sc0tt,Houston and Sons,Houston and Sons,Slight Variation,90,90,90,90,0.571
139,Joseph Mitchell,J0seph Mitchell,Armstrong Inc,Armstrong Inc,Slight Variation,93,93,93,93,0.684
140,Richard Williams,Rich@rd Willi@ms,Gonzalez Inc,Gonzal3z Inc,Slight Variation,88,88,62,62,0.5
141,Christian Flores,Christi@n Fl0res,"Dudley, Conner and Maxwell","Dudl3y, Conn3r and Maxw3ll",Slight Variation,88,88,81,81,0.478
142,Elizabeth Anderson,Eliz@beth Anders0n,Parker LLC,Park3r LLC,Slight Variation,89,89,67,67,0.52
143,Amanda Hernandez,Am@nd@ Hern@ndez,Sullivan-Clark,Sullivan-Clark,Slight Variation,81,81,71,71,0.429
144,Jenna Johnson,Jenn@ J0hns0n,Richardson-Adkins,Richardson-Adkins,Slight Variation,77,77,32,32,0.25
145,Caitlin Decker,C@itlin Decker,Harris Group,Harris Group,Slight Variation,93,93,57,93,0.667
146,Henry Williams,Henry Willi@ms,"Fitzgerald, Young and Wright","Fitzg3rald, Young and Wright",Slight Variation,93,93,79,79,0.667
147,Adam Mitchell,Ad@m Mitchell,Clark PLC,Clark PLC,Slight Variation,92,92,92,92,0.688
148,Michelle Schaefer,Michelle Sch@efer,Prince LLC,Princ3 LLC,Slight Variation,94,94,71,76,0.714
149,Robert Kane,R0bert K@ne,"Sullivan, Glover and Atkinson","Sullivan, Glov3r and Atkinson",Slight Variation,82,82,82,82,0.333
150,Leon Peterson,Le0n Peters0n,Morton Group,Morton Group,Slight Variation,85,85,85,85,0.444
151,Justin Park,Justin P@rk,Wright-Schultz,Wright-Schultz,Slight Variation,91,91,91,91,0.6
152,Bryan Gordon,Bry@n G0rd0n,Turner Group,Turn3r Group,Slight Variation,75,75,50,50,0.182
153,George Campbell,Ge0rge C@mpbell,Flores-Bates,Flor3s-Bat3s,Slight Variation,87,87,47,47,0.455
154,Kara Zimmerman,K@r@ Zimmerm@n,"Hansen, Russo and Fox","Hans3n, Russo and Fox",Slight Variation,79,79,74,74,0.381
155,Shannon Sanders,Sh@nn0n S@nders,Gilbert-Orozco,Gilb3rt-Orozco,Slight Variation,80,80,53,53,0.261
156,Alexandra Hunter,Alex@ndr@ Hunter,Thomas and Sons,Thomas and Sons,Slight Variation,88,88,71,90,0.571
157,Amber Juarez,Amber Ju@rez,"Weaver, Hayes and Kennedy","W3av3r, Hay3s and K3nn3dy",Slight Variation,92,92,92,92,0.625
158,Michael Lewis,Mich@el Lewis,"Humphrey, Martinez and Stokes","Humphr3y, Martin3z and Stok3s",Slight Variation,92,92,77,77,0.647
159,Lindsey Sanchez,Lindsey S@nchez,Murray Group,Murray Group,Slight Variation,93,93,87,87,0.684
160,Michael Moore,Mich@el M00re,Anderson LLC,And3rson LLC,Slight Variation,77,77,31,31,0.3
161,Donna Martinez,D0nn@ M@rtinez,Adams PLC,Adams PLC,Slight Variation,79,79,81,81,0.318
162,Jessica Williams,Jessic@ Willi@ms,Wagner Ltd,Wagn3r Ltd,Slight Variation,88,88,77,77,0.571
163,Billy Walker,Billy W@lker,Manning PLC,Manning PLC,Slight Variation,92,92,83,83,0.625
164,Adam Jones,Ad@m J0nes,"Miller, Rodriguez and Shelton","Mill3r, Rodrigu3z and Sh3lton",Slight Variation,80,80,70,70,0.294
165,Wanda Jacobs,W@nd@ J@c0bs,Howard Ltd,Howard Ltd,Slight Variation,67,67,52,52,0.136
166,Margaret Pearson,M@rg@ret Pe@rs0n,"Schmidt, Gonzalez and Olson","Schmidt, Gonzal3z and Olson",Slight Variation,75,75,50,50,0.185
167,Chad Powell,Ch@d P0well,Gardner LLC,Gardn3r LLC,Slight Variation,82,82,82,82,0.333
168,John James,J0hn J@mes,"Luna, Murphy and Williams","Luna, Murphy and Williams",Slight Variation,80,80,40,40,0.25
169,Diane Carpenter,Di@ne C@rpenter,"Robinson, Bennett and Cobb","Robinson, B3nn3tt and Cobb",Slight Variation,87,87,53,53,0.455
170,Charles Odonnell,Ch@rles Od0nnell,Potter Group,Pott3r Group,Slight Variation,88,88,62,62,0.478
171,Amanda Jones,Am@nd@ J0nes,Guerrero Inc,Gu3rr3ro Inc,Slight Variation,75,75,61,61,0.25
172,John Johnson,J0hn J0hns0n,Nguyen-Bailey,Nguy3n-Bail3y,Slight Variation,75,75,75,75,0.2
173,Amber Lamb,Amber L@mb,Woods Inc,Woods Inc,Slight Variation,90,90,90,90,0.615
174,Brittany Boyd,Britt@ny B0yd,Duran-Houston,Duran-Houston,Slight Variation,85,85,85,85,0.368
175,Ann Meadows,Ann Me@d0ws,"Wilson, Gomez and Montoya","Wilson, Gom3z and Montoya",Slight Variation,82,82,55,55,0.412
176,Jill Maynard,Jill M@yn@rd,Quinn and Sons,Quinn and Sons,Slight Variation,83,83,67,67,0.368
177,Jonathon Klein,J0n@th0n Klein,Cobb-Oliver,Cobb-Oliv3r,Slight Variation,79,79,57,79,0.318
178,Christy Lopez,Christy L0pez,Neal-Mcknight,N3al-Mcknight,Slight Variation,92,92,92,92,0.647
179,Natalie Stone,N@t@lie St0ne,Austin-Smith,Austin-Smith,Slight Variation,77,77,62,62,0.273
180,Teresa Maldonado,Teres@ M@ld0n@d0,Anderson and Sons,And3rson and Sons,Slight Variation,69,69,58,58,0.222
181,Anne Martin,Anne M@rtin,"Daugherty, James and Kelly","Daugh3rty, Jam3s and K3lly",Slight Variation,91,91,91,91,0.6
182,Nicolas Patterson,Nic0l@s P@tters0n,Strong-Robinson,Strong-Robinson,Slight Variation,76,76,71,71,0.241
183,Linda Baker,Lind@ B@ker,Wall Ltd,Wall Ltd,Slight Variation,82,82,86,86,0.438
184,Justin Smith,Justin Smith,Payne-Wilcox,Payn3-Wilcox,Slight Variation,100,100,100,100,1.0
185,Cory Watkins,C0ry W@tkins,"Payne, Young and Benson","Payn3, Young and B3nson",Slight Variation,83,83,75,75,0.368
186,Robin Santos,R0bin S@nt0s,"Green, Smith and Nguyen","Gr33n, Smith and Nguy3n",Slight Variation,75,75,50,50,0.182
187,Dwayne Moore,Dw@yne M00re,"Harris, Shelton and Martinez","Harris, Sh3lton and Martin3z",Slight Variation,75,75,42,42,0.3
188,Michael Combs,Mich@el C0mbs,Watson-Harris,Watson-Harris,Slight Variation,85,85,69,69,0.4
189,Carl Dunn,C@rl Dunn,Rivers-Rodriguez,Riv3rs-Rodrigu3z,Slight Variation,89,89,67,89,0.538
190,Anna Dominguez,Ann@ D0minguez,Garcia Ltd,Garcia Ltd,Slight Variation,86,86,89,89,0.526
191,Brandon Bates,Br@nd0n B@tes,"Green, Fox and Gilbert","Gr33n, Fox and Gilb3rt",Slight Variation,77,77,31,31,0.182
192,Cristina Oliver,Cristin@ Oliver,Phillips-Adams,Phillips-Adams,Slight Variation,93,93,97,97,0.824
193,Andrew Mccormick,Andrew Mcc0rmick,Andrews Inc,Andr3ws Inc,Slight Variation,94,94,94,94,0.7
194,Tim Dalton,Tim D@lt0n,Reid LLC,R3id LLC,Slight Variation,80,80,80,80,0.294
195,Heidi Washington,Heidi W@shingt0n,Matthews and Sons,Matth3ws and Sons,Slight Variation,88,88,81,81,0.478
196,Sara Walton,S@r@ W@lt0n,"Sweeney, Manning and Stewart","Sw33n3y, Manning and St3wart",Slight Variation,64,64,29,29,0.095
197,Jonathan Dunn,J0n@th@n Dunn,Williams-Camacho,Williams-Camacho,Slight Variation,77,77,69,69,0.273
198,David Payne,D@vid P@yne,Shaw PLC,Shaw PLC,Slight Variation,82,82,73,73,0.333
199,Dawn Parker,D@wn P@rker,Downs-Mack,Downs-Mack,Slight Variation,82,82,64,64,0.333
200,Brian Joseph,Bri@n J0seph,"Smith, Madden and Williams","Smith, Madd3n and Williams",Slight Variation,83,83,75,75,0.368
201,Amy Haney,Amy H@ney,"Clark, Stevens and Griffith","Clark, St3v3ns and Griffith",Slight Variation,89,89,89,89,0.538
202,Crystal Kramer,Cryst@l Kr@mer,Marquez Inc,Marqu3z Inc,Slight Variation,86,86,79,79,0.429
203,Gabriel Ferguson,G@briel Fergus0n,"Shaw, Diaz and Edwards","Shaw, Diaz and Edwards",Slight Variation,88,88,56,56,0.478
204,Robert Anderson,R0bert Anders0n,Hogan-Cooper,Hogan-Coop3r,Slight Variation,87,87,87,87,0.455
205,Shaun Thompson,Sh@un Th0mps0n,Baker-Berger,Bak3r-B3rg3r,Slight Variation,79,79,64,64,0.25
206,Donna Forbes,D0nn@ F0rbes,Orozco Ltd,Orozco Ltd,Slight Variation,75,75,78,78,0.25
207,Amy Jenkins,Amy Jenkins,Smith PLC,Smith PLC,Slight Variation,100,100,100,100,1.0
208,Bradley Martin,Br@dley M@rtin,"Smith, Paul and Lozano","Smith, Paul and Lozano",Slight Variation,86,86,86,86,0.429
209,Patricia Johnson,P@trici@ J0hns0n,Leonard-Phillips,L3onard-Phillips,Slight Variation,75,75,77,77,0.222
210,Philip Riley,Philip Riley,Miller LLC,Mill3r LLC,Slight Variation,100,100,100,100,1.0
211,Robert Jones,R0bert J0nes,"Russo, Butler and Miller","Russo, Butl3r and Mill3r",Slight Variation,83,83,83,83,0.368
212,Daniel Downs,D@niel D0wns,Bryant PLC,Bryant PLC,Slight Variation,83,83,42,42,0.333
213,Brenda Salazar,Brend@ S@l@z@r,Hammond Ltd,Hammond Ltd,Slight Variation,71,71,59,59,0.261
214,Jeffrey Robinson,Jeffrey R0bins0n,"Castillo, Brown and King","Castillo, Brown and King",Slight Variation,88,88,88,88,0.478
215,Monica Davis,M0nic@ D@vis,Peters-Mcintosh,P3t3rs-Mcintosh,Slight Variation,75,75,35,35,0.25
216,Joseph Wilkinson,J0seph Wilkins0n,"Martinez, Barry and Larsen","Martin3z, Barry and Lars3n",Slight Variation,88,88,88,88,0.478
217,Daniel Fry,D@niel Fry,"Hall, Collins and Patterson","Hall, Collins and Patt3rson",Slight Variation,90,90,50,90,0.571
218,Kelly Miller,Kelly Miller,Gray PLC,Gray PLC,Slight Variation,100,100,100,100,1.0
219,Daniel Garcia,D@niel G@rci@,Humphrey-Guerrero,Humphr3y-Gu3rr3ro,Slight Variation,77,77,72,72,0.286
220,Lynn Vaughn,Lynn V@ughn,Jones and Sons,Jon3s and Sons,Slight Variation,91,91,82,82,0.6
221,Sarah Mcconnell,S@r@h Mcc0nnell,Brown-Dorsey,Brown-Dors3y,Slight Variation,80,80,67,67,0.333
222,Kathryn Baldwin,K@thryn B@ldwin,"Lee, Simmons and Pham","L33, Simmons and Pham",Slight Variation,87,87,80,80,0.455
223,Earl Reynolds,E@rl Reyn0lds,Ramirez and Sons,Ramir3z and Sons,Slight Variation,85,85,69,69,0.421
224,Madison Baker,M@dis0n B@ker,Shaffer-Branch,Shaff3r-Branch,Slight Variation,77,77,46,46,0.217
